[02:58:55] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=1181 | Type=31041 | Level=120 | Size=13939
[02:58:55] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=10305 | Type=71102 | Level=99 | Size=12294
[02:58:55] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=1101 | Type=31027 | Level=120 | Size=12402
[02:58:55] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=1185 | Type=31021 | Level=120 | Size=14000
[02:58:55] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=858 | Type=31017 | Level=65 | Size=12632
[02:58:55] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=889 | Type=33085 | Level=71 | Size=12800
[02:58:55] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=1185 | Type=31021 | Level=120 | Size=14000
[02:58:55] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=1185 | Type=33082 | Level=120 | Size=14000
[02:58:55] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=565 | Type=31067 | Level=1 | Size=12133
[02:58:55] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=905 | Type=41132 | Level=1 | Size=11823
[02:59:32] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=10305 | Type=71102 | Level=99 | Size=12294
[02:59:36] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=10305 | Type=71102 | Level=99 | Size=12294
[02:59:46] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=10485 | Type=71102 | Level=120 | Size=12294
